发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/27 16:21	绅士牌-组合	京东商城			http://club.jd.com/repay/2976607_31e4eb7c-a40f-4e06-93c4-fb7335db96b9_1.html		美味的绅士坚果，全是无壳的，吃起来方便，老少皆宜！	美国进口 绅士牌（planters) 混合坚果·（腰果，巴旦木，碧根果）233g	服务	物流	方便	正面
2016/7/27 16:24	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_296c6930-7f18-40a5-a928-6bf388b5b4b5_1.html		还不错 秒杀的 价格太值了	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	价格感知|价格感知	价格|促销活动	还不错|秒杀	正面|正面
2016/7/27 16:28	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_76c2209d-7bd6-495a-b197-b16cff44b533_1.html		昨天中午下单，今天早上9点就收到货啦。家人都喜欢吃坚果，盐焗味很好吃呢。	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	服务|产品|产品	物流|喜好度|味道	NULL|喜欢|好吃	中性|正面|正面
2016/7/27 16:34	绅士牌-组合	京东商城			http://club.jd.com/repay/2999859_9cb52b24-ba78-4b46-abbe-96270bb2e4e6_1.html		不错	美国进口 绅士牌(Planters)精选混合坚果(巴旦木，腰果，巴西果，碧根果，开心果)248g				
2016/7/27 16:34	绅士牌-组合	京东商城			http://club.jd.com/repay/2976607_b97fbab3-5982-4505-bab7-9eaef0f46328_1.html		味道不错	美国进口 绅士牌（planters) 混合坚果·（腰果，巴旦木，碧根果）233g	产品	味道	不错	正面
2016/7/27 16:35	绅士牌-花生	京东商城			http://club.jd.com/repay/3260372_3b1f96ad-5d16-4da4-9e18-fa41d0b9f2c2_1.html		日期也很新鲜	美国进口 绅士牌（planters) 美式海盐焦糖花生170g	安全性	货期	新鲜	正面
2016/7/27 16:35	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_2cba7f78-037e-49ce-ab8b-7f0d69094c6e_1.html		好吃	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	味道	好吃	正面
2016/7/27 16:36	绅士牌-组合	京东商城			http://club.jd.com/repay/2999859_6e419d80-3ff2-4bb5-bdba-1e8eaf65171a_1.html		Planters美国绅士坚果，为中国吃货带来顶级品质和极致的味蕾享受	美国进口 绅士牌(Planters)精选混合坚果(巴旦木，腰果，巴西果，碧根果，开心果)248g	品牌	整体评价	顶级	正面
2016/7/27 16:38	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_722ed75f-df9a-4e95-9f57-e9527d11ab62_1.html		很好吃，美国绅士坚果就是棒，质量棒棒，味道棒棒	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品|产品|品牌	味道|味道|整体评价	棒|好吃|棒	正面|正面|正面
2016/7/27 16:39	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_7cfaf8d5-b5cb-456f-89f9-6ba4175f6a6d_1.html		味道还行，虽然看起来只有一小罐，但分量很足，可以吃当一周的零食啦，哈哈	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	外包装|产品|外包装	包装|味道|包装	NULL|还行|NULL	中性|正面|中性
2016/7/27 16:48	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_56d21beb-a698-48e8-b62c-01291e11f547_1.html		早上下单，下午就收到了，果仁超好吃的！全部5星好评！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品|产品	味道|果实	好吃|好吃	正面|正面
2016/7/27 16:52	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_b326257a-4868-434a-8f95-c1205807827c_1.html		一下子被办公室同事抢光了，大家都问哪里买的，以前在美国吃过，现在中国终于有得卖了，就是喜欢这个！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	喜好度	喜欢	正面
2016/7/27 17:01	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_80af7408-db59-478a-abe1-6d9afe5dfbf5_1.html		大罐的的混合口味坚果，好吃又健康，全家人都喜欢，确实名不虚传的美国第一品牌坚果！??	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品|品牌|产品|产品	味道|知名度|喜好度|味道	大|名不虚传|喜欢|好吃	正面|正面|正面|正面
2016/7/27 17:01	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_64287061-7c00-4964-a03d-1db0b7cbfb28_1.html		速度超级快！开瓶尝了几颗，非常地新鲜美味～	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	安全性|服务	货期|物流	新鲜|NULL	正面|中性
2016/7/27 17:14	绅士牌-花生	天猫商城			http://detail.tmall.com/item.htm?id=19484530419	绿匙食品专营店	OK	2罐包邮美国进口坚果 绅士牌西班牙海盐红皮花生/坚果/零食 354G				
2016/7/27 17:17	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_c348d9ec-5c70-4c03-b1dd-7fc507b35564_1.html		盼望着好吃的坚果，绅士坚果，你终于来了。	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品	味道	好吃	正面
